,A1.04,A1.06,A1.08,A1.10,B0.201,C0.110,C1.112
Maandag 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Dinsdag 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Woensdag 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Donderdag 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Vrijdag 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
